,local_file_path,raw_data_file_name,preprocessed_one,ICA_name,IC_Feature,R_squareds_BF,R_squareds_BF_permutation,R_squareds_three_state,R_squareds_three_state_permutation,R_squareds_KL,R_squareds_KL_permutation,Group_file_type
0,sub-003\ses-01\eeg\,sub-003_ses-01_task-Rest_eeg.set,pre_sub-003_ses-01_task-Rest_eeg.set,ICA_pre_sub-003_ses-01_task-Rest_eeg.set,IC_Feature_sub-003_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-003_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-003_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-003_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-003_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-003_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-003_ses-01_task-Rest_eeg.mat,CTL
1,sub-005\ses-01\eeg\,sub-005_ses-01_task-Rest_eeg.set,pre_sub-005_ses-01_task-Rest_eeg.set,ICA_pre_sub-005_ses-01_task-Rest_eeg.set,IC_Feature_sub-005_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-005_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-005_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-005_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-005_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-005_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-005_ses-01_task-Rest_eeg.mat,CTL
2,sub-028\ses-01\eeg\,sub-028_ses-01_task-Rest_eeg.set,pre_sub-028_ses-01_task-Rest_eeg.set,ICA_pre_sub-028_ses-01_task-Rest_eeg.set,IC_Feature_sub-028_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-028_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-028_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-028_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-028_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-028_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-028_ses-01_task-Rest_eeg.mat,CTL
3,sub-029\ses-01\eeg\,sub-029_ses-01_task-Rest_eeg.set,pre_sub-029_ses-01_task-Rest_eeg.set,ICA_pre_sub-029_ses-01_task-Rest_eeg.set,IC_Feature_sub-029_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-029_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-029_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-029_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-029_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-029_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-029_ses-01_task-Rest_eeg.mat,CTL
4,sub-030\ses-01\eeg\,sub-030_ses-01_task-Rest_eeg.set,pre_sub-030_ses-01_task-Rest_eeg.set,ICA_pre_sub-030_ses-01_task-Rest_eeg.set,IC_Feature_sub-030_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-030_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-030_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-030_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-030_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-030_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-030_ses-01_task-Rest_eeg.mat,CTL
5,sub-031\ses-01\eeg\,sub-031_ses-01_task-Rest_eeg.set,pre_sub-031_ses-01_task-Rest_eeg.set,ICA_pre_sub-031_ses-01_task-Rest_eeg.set,IC_Feature_sub-031_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-031_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-031_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-031_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-031_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-031_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-031_ses-01_task-Rest_eeg.mat,CTL
6,sub-032\ses-01\eeg\,sub-032_ses-01_task-Rest_eeg.set,pre_sub-032_ses-01_task-Rest_eeg.set,ICA_pre_sub-032_ses-01_task-Rest_eeg.set,IC_Feature_sub-032_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-032_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-032_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-032_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-032_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-032_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-032_ses-01_task-Rest_eeg.mat,CTL
7,sub-033\ses-01\eeg\,sub-033_ses-01_task-Rest_eeg.set,pre_sub-033_ses-01_task-Rest_eeg.set,ICA_pre_sub-033_ses-01_task-Rest_eeg.set,IC_Feature_sub-033_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-033_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-033_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-033_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-033_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-033_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-033_ses-01_task-Rest_eeg.mat,CTL
8,sub-034\ses-01\eeg\,sub-034_ses-01_task-Rest_eeg.set,pre_sub-034_ses-01_task-Rest_eeg.set,ICA_pre_sub-034_ses-01_task-Rest_eeg.set,IC_Feature_sub-034_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-034_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-034_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-034_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-034_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-034_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-034_ses-01_task-Rest_eeg.mat,CTL
9,sub-035\ses-01\eeg\,sub-035_ses-01_task-Rest_eeg.set,pre_sub-035_ses-01_task-Rest_eeg.set,ICA_pre_sub-035_ses-01_task-Rest_eeg.set,IC_Feature_sub-035_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-035_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-035_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-035_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-035_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-035_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-035_ses-01_task-Rest_eeg.mat,CTL
10,sub-036\ses-01\eeg\,sub-036_ses-01_task-Rest_eeg.set,pre_sub-036_ses-01_task-Rest_eeg.set,ICA_pre_sub-036_ses-01_task-Rest_eeg.set,IC_Feature_sub-036_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-036_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-036_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-036_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-036_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-036_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-036_ses-01_task-Rest_eeg.mat,CTL
11,sub-037\ses-01\eeg\,sub-037_ses-01_task-Rest_eeg.set,pre_sub-037_ses-01_task-Rest_eeg.set,ICA_pre_sub-037_ses-01_task-Rest_eeg.set,IC_Feature_sub-037_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-037_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-037_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-037_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-037_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-037_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-037_ses-01_task-Rest_eeg.mat,CTL
12,sub-038\ses-01\eeg\,sub-038_ses-01_task-Rest_eeg.set,pre_sub-038_ses-01_task-Rest_eeg.set,ICA_pre_sub-038_ses-01_task-Rest_eeg.set,IC_Feature_sub-038_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-038_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-038_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-038_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-038_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-038_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-038_ses-01_task-Rest_eeg.mat,CTL
13,sub-039\ses-01\eeg\,sub-039_ses-01_task-Rest_eeg.set,pre_sub-039_ses-01_task-Rest_eeg.set,ICA_pre_sub-039_ses-01_task-Rest_eeg.set,IC_Feature_sub-039_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-039_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-039_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-039_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-039_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-039_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-039_ses-01_task-Rest_eeg.mat,CTL
14,sub-040\ses-01\eeg\,sub-040_ses-01_task-Rest_eeg.set,pre_sub-040_ses-01_task-Rest_eeg.set,ICA_pre_sub-040_ses-01_task-Rest_eeg.set,IC_Feature_sub-040_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-040_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-040_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-040_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-040_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-040_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-040_ses-01_task-Rest_eeg.mat,CTL
15,sub-041\ses-01\eeg\,sub-041_ses-01_task-Rest_eeg.set,pre_sub-041_ses-01_task-Rest_eeg.set,ICA_pre_sub-041_ses-01_task-Rest_eeg.set,IC_Feature_sub-041_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-041_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-041_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-041_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-041_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-041_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-041_ses-01_task-Rest_eeg.mat,CTL
16,sub-042\ses-01\eeg\,sub-042_ses-01_task-Rest_eeg.set,pre_sub-042_ses-01_task-Rest_eeg.set,ICA_pre_sub-042_ses-01_task-Rest_eeg.set,IC_Feature_sub-042_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-042_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-042_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-042_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-042_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-042_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-042_ses-01_task-Rest_eeg.mat,CTL
17,sub-043\ses-01\eeg\,sub-043_ses-01_task-Rest_eeg.set,pre_sub-043_ses-01_task-Rest_eeg.set,ICA_pre_sub-043_ses-01_task-Rest_eeg.set,IC_Feature_sub-043_ses-01_task-Rest_eeg.mat,R_squareds_BF_v3_sub-043_ses-01_task-Rest_eeg.mat,R_squareds_permutation_BF_v3_sub-043_ses-01_task-Rest_eeg.mat,R_squareds_three_state_v3_sub-043_ses-01_task-Rest_eeg.mat,R_squareds_three_state_permutation_v3_sub-043_ses-01_task-Rest_eeg.mat,R_squareds_KL_v3_sub-043_ses-01_task-Rest_eeg.mat,R_squareds_KL_permutation_v3_sub-043_ses-01_task-Rest_eeg.mat,CTL
